http://192.168.0.91/app/kibana#/dev_tools/console?_g=()
GET /_cat/indices?v

health status index                 uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   snort-2017.12.02      NDtRhSWhTsW8k_QGp0yoaA   1   0       1841            0      6.9mb          6.9mb
green  open   winlogbeat-2017.11.18 6tNq819ET1GF2VXFiQ5Tdw   5   0        246            0    322.7kb        322.7kb
green  open   netflow-v9-2017.04.30 opKyCrHIQjecbZNxm8VZqA   1   0      23800            0      4.3mb          4.3mb
green  open   snort-2017.11.28      1F-6dEfYRauNMzPm6W_28w   1   0       1932            0      6.6mb          6.6mb
yellow open   netflow-v9-2018.06.14 lt1SpSY-Q0OwZFdNeJCnFw   5   1      11602            0      3.2mb          3.2mb
green  open   netflow-v9-2017.04.04 IiqESrXbT56iGTEBsTnMMg   1   0      16835            0      2.8mb          2.8mb
green  open   winlogbeat-2016.10.24 fxekgfK1TouA8-Ccp4AC2g   5   0         28            0     81.5kb         81.5kb
green  open   snort-2017.12.04      pYreoyM3SeuZKDx9fqUoRA   1   0       6524            0     47.7mb         47.7mb
green  open   netflow-v9-2017.04.28 wKDtg-6gTdaiYSMNAlOkVg   1   0      26214            0      4.9mb          4.9mb
green  open   netflow-v9-2016.09.21 wZfWdYakSh66dCTeyU740A   1   0          1            0      8.2kb          8.2kb
green  open   netflow-v9-2017.09.05 w3nqulHbRjmBBV-hv0g3QQ   5   0      24752            0      5.5mb          5.5mb
green  open   snort-2017.10.03      qowkdwUfTD6BRXJSIqC_9w   1   0     845488            0    974.9mb        974.9mb
green  open   snort-2017.10.15      Z0-0MEoWRcuMkFukEQxnSw   1   0        336            0    941.3kb        941.3kb
yellow open   netflow-v9-2018.06.25 S-eVeqIZQvGMhwnY4uVi6Q   5   1      13333            0      3.5mb          3.5mb
green  open   bro-2017.12.23        S9didmC1S0-eg9AatEBfFQ   5   0     243693            0     80.7mb         80.7mb
green  open   winlogbeat-2017.12.23 SeUj1OuURP2Uf2Ba6W02Mw   5   0        237            0    410.1kb        410.1kb
green  open   netflow-v9-2017.10.06 6CCdDGZ3Tgq2L2aacz-KqA   5   0      21462            0      4.9mb          4.9mb
green  open   netflow-v9-2017.10.10 bNLDh1ZIT-SQMlXBZBzp0w   5   0      18194            0      4.3mb          4.3mb
green  open   netflow-v9-2017.11.30 IBgFp4wDQvSD2IpHW_dxTg   5   0      45012            0      8.7mb          8.7mb
green  open   winlogbeat-2018.02.08 lO2Y-t-WSPqEl-22xfdqfg   5   0        185            0    331.6kb        331.6kb
yellow open   netflow-v9-2018.06.01 fMG4VQ3yToyRr43KMZ_cZA   5   1      16685            0      4.4mb          4.4mb
green  open   netflow-v9-2017.10.25 a8XMkqExQKSb8hfH2xejSw   5   0      16832            0        4mb            4mb
green  open   netflow-v9-2017.11.04 VxE5NQevQTWLA3f3__YlPQ   5   0      33493            0      7.1mb          7.1mb
green  open   snort-2018.06.15      ax8h-nnHTkOA1Qrqugs7Nw   1   0        530            0        2mb            2mb
green  open   relay-test            oexVY75yTZKk8_DSYDFbCw   5   0          1            0      7.5kb          7.5kb
green  open   netflow-v9-2016.07.15 GzfmMGv4TWGj7M8WPx3bEw   1   0      14435            0      1.6mb          1.6mb
yellow open   netflow-v9-2018.06.21 60TQ_EcEQc-BP3aqwVraYg   5   1      14371            0        4mb            4mb
green  open   snort-2017.11.26      6p2SSLfuT8O6xj8sQghgDA   1   0       1656            0      5.8mb          5.8mb
green  open   netflow-v9-2017.11.03 LKqgp9oeT_WVHKaklUxP1A   5   0      35886            0      7.6mb          7.6mb
green  open   netflow-v9-2016.08.11 JJoBRtm3RSeIbnvSiuydng   1   0        726            0    143.3kb        143.3kb
green  open   winlogbeat-2017.12.14 kec2u_fCSe6YbnFyUPX-Gw   5   0        261            0    353.2kb        353.2kb
green  open   netflow-v9-2017.07.01 EexC5GNORNKGPve2qyU0gQ   5   0       1157            0    574.3kb        574.3kb
green  open   netflow-v9-2017.04.18 tBUpJWzcQBOERf4LUDc8oA   1   0      25106            0      4.5mb          4.5mb
green  open   snort-2017.12.26      ynNF-xk0SraiDCxkmIl3DA   1   0      11115            0     40.2mb         40.2mb
yellow open   bro-2018.06.30        i-zx42ajRsihkSLZQWRxaw   5   1      71640            0     40.7mb         40.7mb
